"{0.16711185852134147, 1.0554631065390871}","{0.17547478091488755, 1.1158774351056278}","{0.17381420284493007, 1.132961726020199}"
"{0.17381420284493007, 1.132961726020199}","{0.16543473345648196, 1.0724322607873469}","{0.16711185852134147, 1.0554631065390871}"
"{0.17547478091488755, 1.1158774351056278}","{0.1361228700201032, 1.1647499302967643}","{0.13438697805934532, 1.1819273104444878}"
"{0.13438697805934532, 1.1819273104444878}","{0.17381420284493007, 1.132961726020199}","{0.17547478091488755, 1.1158774351056278}"
"{0.1361228700201032, 1.1647499302967643}","{0.05582855378759033, 1.1974625658442712}","{0.053940950019943784, 1.2147028811687144}"
"{0.053940950019943784, 1.2147028811687144}","{0.13438697805934532, 1.1819273104444878}","{0.1361228700201032, 1.1647499302967643}"
"{0.05582855378759033, 1.1974625658442712}","{-0.05863573983204974, 1.2093973154799234}","{-0.060741411991174075, 1.2266605181715735}"
"{-0.060741411991174075, 1.2266605181715735}","{0.053940950019943784, 1.2147028811687144}","{0.05582855378759033, 1.1974625658442712}"
"{0.16543473345648196, 1.0724322607873469}","{0.17381420284493007, 1.132961726020199}","{0.179978004916548, 1.1400648533301707}"
"{0.179978004916548, 1.1400648533301707}","{0.17141519673380198, 1.0782105462741334}","{0.16543473345648196, 1.0724322607873469}"
"{0.17381420284493007, 1.132961726020199}","{0.13438697805934532, 1.1819273104444878}","{0.13968848684368151, 1.1901025244479666}"
"{0.13968848684368151, 1.1901025244479666}","{0.179978004916548, 1.1400648533301707}","{0.17381420284493007, 1.132961726020199}"
"{0.13438697805934532, 1.1819273104444878}","{0.053940950019943784, 1.2147028811687144}","{0.05748108374903559, 1.223595671335231}"
"{0.05748108374903559, 1.223595671335231}","{0.13968848684368151, 1.1901025244479666}","{0.13438697805934532, 1.1819273104444878}"
"{0.053940950019943784, 1.2147028811687144}","{-0.060741411991174075, 1.2266605181715735}","{-0.05971138041910461, 1.2358150580066418}"
"{-0.05971138041910461, 1.2358150580066418}","{0.05748108374903559, 1.223595671335231}","{0.053940950019943784, 1.2147028811687144}"
"{0.17141519673380198, 1.0782105462741334}","{0.179978004916548, 1.1400648533301707}","{0.18959111018168745, 1.1359753887716684}"
"{0.18959111018168745, 1.1359753887716684}","{0.18079524707030462, 1.0724314927616663}","{0.17141519673380198, 1.0782105462741334}"
