"{{0.16711185852134147, 1.0554631065390871}, {0.17547478091488755, 1.1158774351056278}, {0.17381420284493007, 1.132961726020199}}","{0.9480311539631878, 0.18719086479527883, 0.25728682681478726}"
"{{0.17381420284493007, 1.132961726020199}, {0.16543473345648196, 1.0724322607873469}, {0.16711185852134147, 1.0554631065390871}}","{0.9480232396649917, 0.18718453235355284, 0.25732059362335413}"
"{{0.17547478091488755, 1.1158774351056278}, {0.1361228700201032, 1.1647499302967643}, {0.13438697805934532, 1.1819273104444878}}","{0.8028517481040284, 0.5373417211719872, 0.25824977299938157}"
"{{0.13438697805934532, 1.1819273104444878}, {0.17381420284493007, 1.132961726020199}, {0.17547478091488755, 1.1158774351056278}}","{0.8028541294245893, 0.5373462573008491, 0.25823293095702277}"
"{{0.1361228700201032, 1.1647499302967643}, {0.05582855378759033, 1.1974625658442712}, {0.053940950019943784, 1.2147028811687144}}","{0.5373565914374805, 0.8028739660301181, 0.25814974009237546}"
"{{0.053940950019943784, 1.2147028811687144}, {0.13438697805934532, 1.1819273104444878}, {0.1361228700201032, 1.1647499302967643}}","{0.5373541554983032, 0.8028476558798324, 0.25823662214520193}"
"{{0.05582855378759033, 1.1974625658442712}, {-0.05863573983204974, 1.2093973154799234}, {-0.060741411991174075, 1.2266605181715735}}","{0.1871967479832297, 0.9480609494634554, 0.2571727311496204}"
"{{-0.060741411991174075, 1.2266605181715735}, {0.053940950019943784, 1.2147028811687144}, {0.05582855378759033, 1.1974625658442712}}","{0.1871980793805317, 0.948056403888566, 0.25718851864366016}"
"{{0.16543473345648196, 1.0724322607873469}, {0.17381420284493007, 1.132961726020199}, {0.179978004916548, 1.1400648533301707}}","{0.7196312774244598, 0.14208917935312262, -0.6796627764290143}"
"{{0.179978004916548, 1.1400648533301707}, {0.17141519673380198, 1.0782105462741334}, {0.16543473345648196, 1.0724322607873469}}","{0.7196268426283989, 0.14208869508616256, -0.6796675732278193}"
"{{0.17381420284493007, 1.132961726020199}, {0.13438697805934532, 1.1819273104444878}, {0.13968848684368151, 1.1901025244479666}}","{0.6084303053832566, 0.40721936332372605, -0.6811644101283155}"
"{{0.13968848684368151, 1.1901025244479666}, {0.179978004916548, 1.1400648533301707}, {0.17381420284493007, 1.132961726020199}}","{0.6084772774792827, 0.4072450009928995, -0.681107122233862}"
"{{0.13438697805934532, 1.1819273104444878}, {0.053940950019943784, 1.2147028811687144}, {0.05748108374903559, 1.223595671335231}}","{0.40722787891621426, 0.6084291796229188, -0.6811603247523914}"
"{{0.05748108374903559, 1.223595671335231}, {0.13968848684368151, 1.1901025244479666}, {0.13438697805934532, 1.1819273104444878}}","{0.4072250553813939, 0.6084256884347556, -0.6811651311703459}"
"{{0.053940950019943784, 1.2147028811687144}, {-0.060741411991174075, 1.2266605181715735}, {-0.05971138041910461, 1.2358150580066418}}","{0.14208192832310204, 0.7195676497819983, -0.6797316551634187}"
"{{-0.05971138041910461, 1.2358150580066418}, {0.05748108374903559, 1.223595671335231}, {0.053940950019943784, 1.2147028811687144}}","{0.14208289432266713, 0.7195709944873634, -0.6797279125012893}"
"{{0.17141519673380198, 1.0782105462741334}, {0.179978004916548, 1.1400648533301707}, {0.18959111018168745, 1.1359753887716684}}","{-0.4597502932283144, -0.09077665723487265, -0.8833964378339666}"
"{{0.18959111018168745, 1.1359753887716684}, {0.18079524707030462, 1.0724314927616663}, {0.17141519673380198, 1.0782105462741334}}","{-0.45972077919028975, -0.09077388107931597, -0.8834120826061135}"
"{{0.179978004916548, 1.1400648533301707}, {0.13968848684368151, 1.1901025244479666}, {0.14820089492775965, 1.1873799798565292}}","{-0.3882468035825855, -0.2598479446356376, -0.8841625784755536}"
"{{0.14820089492775965, 1.1873799798565292}, {0.18959111018168745, 1.1359753887716684}, {0.179978004916548, 1.1400648533301707}}","{-0.3882448239540138, -0.25984690476836664, -0.8841637533597587}"
"{{0.13968848684368151, 1.1901025244479666}, {0.05748108374903559, 1.223595671335231}, {0.0637483954781155, 1.2217876479146503}}","{-0.25985375272313266, -0.3882415787134065, -0.884163165797935}"
"{{0.0637483954781155, 1.2217876479146503}, {0.14820089492775965, 1.1873799798565292}, {0.13968848684368151, 1.1901025244479666}}","{-0.2598480883349413, -0.38823479951236695, -0.8841678072833623}"
"{{0.05748108374903559, 1.223595671335231}, {-0.05971138041910461, 1.2358150580066418}, {-0.05664527502748805, 1.2343407749784847}}","{-0.09078031406403946, -0.4597519017496169, -0.8833952249225965}"
"{{-0.05664527502748805, 1.2343407749784847}, {0.0637483954781155, 1.2217876479146503}, {0.05748108374903559, 1.223595671335231}}","{-0.09077949904217494, -0.45974923114400373, -0.8833966985540241}"
