"{-0.504303600853786, 1.81578861105963}","{-0.623183088683049, 1.7923157999578905}","{-0.5920765535079409, 1.7082533869930934}"
"{-0.5291134769832331, 1.9180363540642198}","{-0.6589116268056825, 1.8924074200228447}","{-0.623183088683049, 1.7923157999578905}"
"{-0.7193468511913542, 1.7279540528989263}","{-0.623183088683049, 1.7923157999578905}","{-0.6589116268056825, 1.8924074200228447}"
"{-0.623183088683049, 1.7923157999578905}","{-0.504303600853786, 1.81578861105963}","{-0.5291134769832331, 1.9180363540642198}"
"{-0.6767131467427896, 1.6516065939355533}","{-0.5920765535079409, 1.7082533869930934}","{-0.623183088683049, 1.7923157999578905}"
"{-0.5920765535079409, 1.7082533869930934}","{-0.48744672359638197, 1.728912597755917}","{-0.504303600853786, 1.81578861105963}"
"{-0.48744672359638197, 1.728912597755917}","{-0.5920765535079409, 1.7082533869930934}","{-0.5688937346583733, 1.646740425633326}"
"{-0.623183088683049, 1.7923157999578905}","{-0.7193468511913542, 1.7279540528989263}","{-0.6767131467427896, 1.6516065939355533}"
"{-0.6435243440337456, 1.5967904721050499}","{-0.5688937346583733, 1.646740425633326}","{-0.5920765535079409, 1.7082533869930934}"
"{-0.5688937346583733, 1.646740425633326}","{-0.4766330640356522, 1.6649573413407688}","{-0.48744672359638197, 1.728912597755917}"
"{-0.6589116268056825, 1.8924074200228447}","{-0.7639075823945428, 1.8221345363610089}","{-0.7193468511913542, 1.7279540528989263}"
"{-0.4766330640356522, 1.6649573413407688}","{-0.5688937346583733, 1.646740425633326}","{-0.5571854718165407, 1.6153036175748596}"
"{-0.5920765535079409, 1.7082533869930934}","{-0.6767131467427896, 1.6516065939355533}","{-0.6435243440337456, 1.5967904721050499}"
"{-0.6272239611612336, 1.5684275605590983}","{-0.5571854718165407, 1.6153036175748596}","{-0.5688937346583733, 1.646740425633326}"
"{-0.5571854718165407, 1.6153036175748596}","{-0.4706017996989325, 1.632399992705672}","{-0.4766330640356522, 1.6649573413407688}"
"{-0.7639075823945428, 1.8221345363610089}","{-0.6589116268056825, 1.8924074200228447}","{-0.6963269311354865, 2.0014080483369097}"
"{-0.6589116268056825, 1.8924074200228447}","{-0.5291134769832331, 1.9180363540642198}","{-0.5615347305721267, 2.028023390729202}"
"{-0.38542411302452306, 1.7923157999578905}","{-0.504303600853786, 1.81578861105963}","{-0.48744672359638197, 1.728912597755917}"
"{-0.5688937346583733, 1.646740425633326}","{-0.6435243440337456, 1.5967904721050499}","{-0.6272239611612336, 1.5684275605590983}"
"{-0.3993153271607837, 1.8924074200228447}","{-0.5291134769832331, 1.9180363540642198}","{-0.504303600853786, 1.81578861105963}"
"{-0.5615347305721267, 2.028023390729202}","{-0.6963269311354865, 2.0014080483369097}","{-0.6589116268056825, 1.8924074200228447}"
"{-0.3828168936848231, 1.7082533869930934}","{-0.48744672359638197, 1.728912597755917}","{-0.4766330640356522, 1.6649573413407688}"
"{-0.3843729892042611, 1.646740425633326}","{-0.4766330640356522, 1.6649573413407688}","{-0.4706017996989325, 1.632399992705672}"
"{-0.7333597570078083, 1.5669700007007046}","{-0.6767131467427896, 1.6516065939355533}","{-0.7193468511913542, 1.7279540528989263}"
"{-0.48744672359638197, 1.728912597755917}","{-0.3828168936848231, 1.7082533869930934}","{-0.38542411302452306, 1.7923157999578905}"
"{-0.7837082200226181, 1.631790290390621}","{-0.7193468511913542, 1.7279540528989263}","{-0.7639075823945428, 1.8221345363610089}"
"{-0.504303600853786, 1.81578861105963}","{-0.38542411302452306, 1.7923157999578905}","{-0.3993153271607837, 1.8924074200228447}"
"{-0.6963269311354865, 2.0014080483369097}","{-0.8053622355259159, 1.9284316966701693}","{-0.7639075823945428, 1.8221345363610089}"
"{-0.693474297562022, 1.5221592669383475}","{-0.6435243440337456, 1.5967904721050499}","{-0.6767131467427896, 1.6516065939355533}"
"{-0.4766330640356522, 1.6649573413407688}","{-0.3843729892042611, 1.646740425633326}","{-0.3828168936848231, 1.7082533869930934}"
"{-0.6741006064292442, 1.498388482962156}","{-0.6272239611612336, 1.5684275605590983}","{-0.6435243440337456, 1.5967904721050499}"
